,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,compression-ratio,city-mpg,highway-mpg,price,bore,stroke,horsepower,peak-rpm,avg_mpg,fuel-consumption,engine-size-per-weight,power-to-weight
0,3,121.83636363636364,88.6,168.8,64.1,48.8,2548,130,9.0,21,27,13495,3.47,2.68,111.0,5000.0,24.0,0.041666666666666664,0.05102040816326531,0.04356357927786499
1,3,121.83636363636364,88.6,168.8,64.1,48.8,2548,130,9.0,21,27,16500,3.47,2.68,111.0,5000.0,24.0,0.041666666666666664,0.05102040816326531,0.04356357927786499
2,1,121.83636363636364,94.5,171.2,65.5,52.4,2823,152,9.0,19,26,16500,2.68,3.47,154.0,5000.0,22.5,0.044444444444444446,0.053843428976266386,0.05455189514700673
3,2,164.0,99.8,176.6,66.2,54.3,2337,109,10.0,24,30,13950,3.19,3.4,102.0,5500.0,27.0,0.037037037037037035,0.04664099272571673,0.043645699614890884
4,2,164.0,99.4,176.6,66.4,54.3,2824,136,8.0,18,22,17450,3.19,3.4,115.0,5500.0,20.0,0.05,0.04815864022662889,0.04072237960339943
5,2,121.83636363636364,99.8,177.3,66.3,53.1,2507,136,8.5,19,25,15250,3.19,3.4,110.0,5500.0,22.0,0.045454545454545456,0.054248105305145594,0.043877143996808934
6,1,158.0,105.8,192.7,71.4,55.7,2844,136,8.5,19,25,17710,3.19,3.4,110.0,5500.0,22.0,0.045454545454545456,0.04781997187060478,0.03867791842475387
7,1,121.83636363636364,105.8,192.7,71.4,55.7,2954,136,8.5,19,25,18920,3.19,3.4,110.0,5500.0,22.0,0.045454545454545456,0.046039268788083954,0.037237643872714964
8,1,158.0,105.8,192.7,71.4,55.9,3086,131,8.3,17,20,23875,3.13,3.4,140.0,5500.0,18.5,0.05405405405405406,0.042449773169151,0.04536616979909268
9,2,192.0,101.2,176.8,64.8,54.3,2395,108,8.8,23,29,16430,3.5,2.8,101.0,5800.0,26.0,0.038461538461538464,0.04509394572025052,0.042171189979123176
10,0,192.0,101.2,176.8,64.8,54.3,2395,108,8.8,23,29,16925,3.5,2.8,101.0,5800.0,26.0,0.038461538461538464,0.04509394572025052,0.042171189979123176
11,0,188.0,101.2,176.8,64.8,54.3,2710,164,9.0,21,28,20970,3.31,3.19,121.0,4250.0,24.5,0.04081632653061224,0.06051660516605166,0.044649446494464944
12,0,188.0,101.2,176.8,64.8,54.3,2765,164,9.0,21,28,21105,3.31,3.19,121.0,4250.0,24.5,0.04081632653061224,0.0593128390596745,0.04376130198915009
13,1,121.83636363636364,103.5,189.0,66.9,55.7,3055,164,9.0,20,25,24565,3.31,3.19,121.0,4250.0,22.5,0.044444444444444446,0.05368248772504092,0.03960720130932897
14,0,121.83636363636364,103.5,189.0,66.9,55.7,3230,209,8.0,16,22,30760,3.62,3.39,182.0,5400.0,19.0,0.05263157894736842,0.06470588235294118,0.056346749226006194
15,0,121.83636363636364,103.5,193.8,67.9,53.7,3380,209,8.0,16,22,41315,3.62,3.39,182.0,5400.0,19.0,0.05263157894736842,0.06183431952662722,0.05384615384615385
16,0,121.83636363636364,110.0,197.0,70.9,56.3,3505,209,8.0,15,20,36880,3.62,3.39,182.0,5400.0,17.5,0.05714285714285714,0.05962910128388017,0.051925820256776035
17,2,121.0,88.4,141.1,60.3,53.2,1488,61,9.5,47,53,5151,2.91,3.03,48.0,5100.0,50.0,0.02,0.04099462365591398,0.03225806451612903
18,1,98.0,94.5,155.9,63.6,52.0,1874,90,9.6,38,43,6295,3.03,3.11,70.0,5400.0,40.5,0.024691358024691357,0.048025613660619,0.03735325506937033
19,0,81.0,94.5,158.8,63.6,52.0,1909,90,9.6,38,43,6575,3.03,3.11,70.0,5400.0,40.5,0.024691358024691357,0.04714510214772132,0.03666841278156103
20,1,118.0,93.7,157.3,63.8,50.8,1876,90,9.41,37,41,5572,2.97,3.23,68.0,5500.0,39.0,0.02564102564102564,0.04797441364605544,0.03624733475479744
21,1,118.0,93.7,157.3,63.8,50.8,1876,90,9.4,31,38,6377,2.97,3.23,68.0,5500.0,34.5,0.028985507246376812,0.04797441364605544,0.03624733475479744
22,1,118.0,93.7,157.3,63.8,50.8,2128,98,7.6,24,30,7957,3.03,3.39,102.0,5500.0,27.0,0.037037037037037035,0.046052631578947366,0.047932330827067667
23,1,148.0,93.7,157.3,63.8,50.6,1967,90,9.4,31,38,6229,2.97,3.23,68.0,5500.0,34.5,0.028985507246376812,0.045754956786985254,0.03457041179461108
24,1,148.0,93.7,157.3,63.8,50.6,1989,90,9.4,31,38,6692,2.97,3.23,68.0,5500.0,34.5,0.028985507246376812,0.04524886877828054,0.03418803418803419
25,1,148.0,93.7,157.3,63.8,50.6,1989,90,9.4,31,38,7609,2.97,3.23,68.0,5500.0,34.5,0.028985507246376812,0.04524886877828054,0.03418803418803419
26,1,148.0,93.7,157.3,63.8,50.6,2191,98,7.6,24,30,8558,3.03,3.39,102.0,5500.0,27.0,0.037037037037037035,0.04472843450479233,0.04655408489274304
27,-1,110.0,103.3,174.6,64.6,59.8,2535,122,8.5,24,30,8921,3.34,3.46,88.0,5000.0,27.0,0.037037037037037035,0.048126232741617356,0.03471400394477318
28,3,145.0,95.9,173.2,66.3,50.2,2811,156,7.0,19,24,12964,3.6,3.9,145.0,5000.0,21.5,0.046511627906976744,0.05549626467449306,0.05158306652436855
29,2,137.0,86.6,144.6,63.9,50.8,1713,92,9.6,49,54,6479,2.91,3.41,58.0,4800.0,51.5,0.019417475728155338,0.053706946876824285,0.033858727378867484
30,2,137.0,86.6,144.6,63.9,50.8,1819,92,9.2,31,38,6855,2.91,3.41,76.0,6000.0,34.5,0.028985507246376812,0.05057724024189115,0.04178119846069269
31,1,101.0,93.7,150.0,64.0,52.6,1837,79,10.1,38,42,5399,2.91,3.07,60.0,5500.0,40.0,0.025,0.04300489929232444,0.0326619488296135
32,1,101.0,93.7,150.0,64.0,52.6,1940,92,9.2,30,34,6529,2.91,3.41,76.0,6000.0,32.0,0.03125,0.04742268041237113,0.03917525773195876
33,1,101.0,93.7,150.0,64.0,52.6,1956,92,9.2,30,34,7129,2.91,3.41,76.0,6000.0,32.0,0.03125,0.04703476482617587,0.03885480572597137
34,0,110.0,96.5,163.4,64.0,54.5,2010,92,9.2,30,34,7295,2.91,3.41,76.0,6000.0,32.0,0.03125,0.045771144278606964,0.03781094527363184
35,0,78.0,96.5,157.1,63.9,58.3,2024,92,9.2,30,34,7295,2.92,3.41,76.0,6000.0,32.0,0.03125,0.045454545454545456,0.037549407114624504
36,0,106.0,96.5,167.5,65.2,53.3,2236,110,9.0,27,33,7895,3.15,3.58,86.0,5800.0,30.0,0.03333333333333333,0.049194991055456175,0.038461538461538464
37,0,106.0,96.5,167.5,65.2,53.3,2289,110,9.0,27,33,9095,3.15,3.58,86.0,5800.0,30.0,0.03333333333333333,0.048055919615552646,0.037570991699432066
38,0,85.0,96.5,175.4,65.2,54.1,2304,110,9.0,27,33,8845,3.15,3.58,86.0,5800.0,30.0,0.03333333333333333,0.04774305555555555,0.03732638888888889
39,0,85.0,96.5,175.4,62.5,54.1,2372,110,9.0,27,33,10295,3.15,3.58,86.0,5800.0,30.0,0.03333333333333333,0.046374367622259695,0.03625632377740304
40,0,85.0,96.5,175.4,65.2,54.1,2465,110,9.0,24,28,12945,3.15,3.58,101.0,5800.0,26.0,0.038461538461538464,0.04462474645030426,0.040973630831643
41,1,107.0,96.5,169.1,66.0,51.0,2293,110,9.1,25,31,10345,3.15,3.58,100.0,5500.0,28.0,0.03571428571428571,0.04797208896641954,0.043610989969472304
42,0,121.83636363636364,94.3,170.7,61.8,53.5,2337,111,8.5,24,29,6785,3.31,3.23,78.0,4800.0,26.5,0.03773584905660377,0.04749679075738126,0.03337612323491656
43,2,121.83636363636364,96.0,172.6,65.2,51.4,2734,119,9.2,24,29,11048,3.43,3.23,90.0,5000.0,26.5,0.03773584905660377,0.04352596927578639,0.03291880029261156
44,0,145.0,113.0,199.6,69.6,52.8,4066,258,8.1,15,19,32250,3.63,4.17,176.0,4750.0,17.0,0.058823529411764705,0.06345302508607968,0.04328578455484506
45,0,121.83636363636364,113.0,199.6,69.6,52.8,4066,258,8.1,15,19,35550,3.63,4.17,176.0,4750.0,17.0,0.058823529411764705,0.06345302508607968,0.04328578455484506
46,0,121.83636363636364,102.0,191.7,70.6,47.8,3950,326,11.5,13,17,36000,3.54,2.76,262.0,5000.0,15.0,0.06666666666666667,0.08253164556962025,0.06632911392405064
47,1,104.0,93.1,159.1,64.2,54.1,1890,91,9.0,30,31,5195,3.03,3.15,68.0,5000.0,30.5,0.03278688524590164,0.04814814814814815,0.03597883597883598
48,1,104.0,93.1,159.1,64.2,54.1,1900,91,9.0,31,38,6095,3.03,3.15,68.0,5000.0,34.5,0.028985507246376812,0.04789473684210526,0.035789473684210524
49,1,104.0,93.1,159.1,64.2,54.1,1905,91,9.0,31,38,6795,3.03,3.15,68.0,5000.0,34.5,0.028985507246376812,0.047769028871391075,0.03569553805774278
