,bore,stroke,horsepower,peak-rpm
0,3.47,2.68,111.0,5000.0
1,3.47,2.68,111.0,5000.0
2,2.68,3.47,154.0,5000.0
3,3.19,3.4,102.0,5500.0
4,3.19,3.4,115.0,5500.0
5,3.19,3.4,110.0,5500.0
6,3.19,3.4,110.0,5500.0
7,3.19,3.4,110.0,5500.0
8,3.13,3.4,140.0,5500.0
9,3.5,2.8,101.0,5800.0
10,3.5,2.8,101.0,5800.0
11,3.31,3.19,121.0,4250.0
12,3.31,3.19,121.0,4250.0
13,3.31,3.19,121.0,4250.0
14,3.62,3.39,182.0,5400.0
15,3.62,3.39,182.0,5400.0
16,3.62,3.39,182.0,5400.0
17,2.91,3.03,48.0,5100.0
18,3.03,3.11,70.0,5400.0
19,3.03,3.11,70.0,5400.0
20,2.97,3.23,68.0,5500.0
21,2.97,3.23,68.0,5500.0
22,3.03,3.39,102.0,5500.0
23,2.97,3.23,68.0,5500.0
24,2.97,3.23,68.0,5500.0
25,2.97,3.23,68.0,5500.0
26,3.03,3.39,102.0,5500.0
27,3.34,3.46,88.0,5000.0
28,3.6,3.9,145.0,5000.0
29,2.91,3.41,58.0,4800.0
30,2.91,3.41,76.0,6000.0
31,2.91,3.07,60.0,5500.0
32,2.91,3.41,76.0,6000.0
33,2.91,3.41,76.0,6000.0
34,2.91,3.41,76.0,6000.0
35,2.92,3.41,76.0,6000.0
36,3.15,3.58,86.0,5800.0
37,3.15,3.58,86.0,5800.0
38,3.15,3.58,86.0,5800.0
39,3.15,3.58,86.0,5800.0
40,3.15,3.58,101.0,5800.0
41,3.15,3.58,100.0,5500.0
42,3.31,3.23,78.0,4800.0
43,3.43,3.23,90.0,5000.0
44,3.63,4.17,176.0,4750.0
45,3.63,4.17,176.0,4750.0
46,3.54,2.76,262.0,5000.0
47,3.03,3.15,68.0,5000.0
48,3.03,3.15,68.0,5000.0
49,3.03,3.15,68.0,5000.0
50,3.03,3.15,68.0,5000.0
51,3.08,3.15,68.0,5000.0
52,,,101.0,6000.0
53,,,101.0,6000.0
54,,,101.0,6000.0
55,,,135.0,6000.0
56,3.39,3.39,84.0,4800.0
57,3.39,3.39,84.0,4800.0
58,3.39,3.39,84.0,4800.0
59,3.39,3.39,84.0,4800.0
60,3.39,3.39,64.0,4650.0
61,3.39,3.39,84.0,4800.0
62,3.76,3.16,120.0,5000.0
63,3.43,3.64,72.0,4200.0
64,3.58,3.64,123.0,4350.0
65,3.58,3.64,123.0,4350.0
66,3.58,3.64,123.0,4350.0
67,3.58,3.64,123.0,4350.0
68,3.46,3.1,155.0,4750.0
69,3.46,3.1,155.0,4750.0
70,3.8,3.35,184.0,4500.0
71,3.8,3.35,184.0,4500.0
72,3.78,3.12,175.0,5000.0
73,2.97,3.23,68.0,5500.0
