,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,compression-ratio,city-mpg,highway-mpg,bore,stroke,horsepower,peak-rpm,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system
0,3,121.83636363636364,88.6,168.8,64.1,48.8,2548,130,9.0,21,27,3.47,2.68,111.0,5000.0,0,1,0,1,0,2,0,0,2,5
1,3,121.83636363636364,88.6,168.8,64.1,48.8,2548,130,9.0,21,27,3.47,2.68,111.0,5000.0,0,1,0,1,0,2,0,0,2,5
2,1,121.83636363636364,94.5,171.2,65.5,52.4,2823,152,9.0,19,26,2.68,3.47,154.0,5000.0,0,1,0,1,2,2,0,4,3,5
3,2,164.0,99.8,176.6,66.2,54.3,2337,109,10.0,24,30,3.19,3.4,102.0,5500.0,1,1,0,0,3,1,0,2,2,5
4,2,164.0,99.4,176.6,66.4,54.3,2824,136,8.0,18,22,3.19,3.4,115.0,5500.0,1,1,0,0,3,0,0,2,1,5
5,2,121.83636363636364,99.8,177.3,66.3,53.1,2507,136,8.5,19,25,3.19,3.4,110.0,5500.0,1,1,0,1,3,1,0,2,1,5
6,1,158.0,105.8,192.7,71.4,55.7,2844,136,8.5,19,25,3.19,3.4,110.0,5500.0,1,1,0,0,3,1,0,2,1,5
7,1,121.83636363636364,105.8,192.7,71.4,55.7,2954,136,8.5,19,25,3.19,3.4,110.0,5500.0,1,1,0,0,4,1,0,2,1,5
8,1,158.0,105.8,192.7,71.4,55.9,3086,131,8.3,17,20,3.13,3.4,140.0,5500.0,1,1,1,0,3,1,0,2,1,5
9,2,192.0,101.2,176.8,64.8,54.3,2395,108,8.8,23,29,3.5,2.8,101.0,5800.0,2,1,0,1,3,2,0,2,2,5
10,0,192.0,101.2,176.8,64.8,54.3,2395,108,8.8,23,29,3.5,2.8,101.0,5800.0,2,1,0,0,3,2,0,2,2,5
11,0,188.0,101.2,176.8,64.8,54.3,2710,164,9.0,21,28,3.31,3.19,121.0,4250.0,2,1,0,1,3,2,0,2,3,5
12,0,188.0,101.2,176.8,64.8,54.3,2765,164,9.0,21,28,3.31,3.19,121.0,4250.0,2,1,0,0,3,2,0,2,3,5
13,1,121.83636363636364,103.5,189.0,66.9,55.7,3055,164,9.0,20,25,3.31,3.19,121.0,4250.0,2,1,0,0,3,2,0,2,3,5
14,0,121.83636363636364,103.5,189.0,66.9,55.7,3230,209,8.0,16,22,3.62,3.39,182.0,5400.0,2,1,0,0,3,2,0,2,3,5
15,0,121.83636363636364,103.5,193.8,67.9,53.7,3380,209,8.0,16,22,3.62,3.39,182.0,5400.0,2,1,0,1,3,2,0,2,3,5
16,0,121.83636363636364,110.0,197.0,70.9,56.3,3505,209,8.0,15,20,3.62,3.39,182.0,5400.0,2,1,0,0,3,2,0,2,3,5
17,2,121.0,88.4,141.1,60.3,53.2,1488,61,9.5,47,53,2.91,3.03,48.0,5100.0,3,1,0,1,2,1,0,1,4,1
18,1,98.0,94.5,155.9,63.6,52.0,1874,90,9.6,38,43,3.03,3.11,70.0,5400.0,3,1,0,1,2,1,0,2,2,1
19,0,81.0,94.5,158.8,63.6,52.0,1909,90,9.6,38,43,3.03,3.11,70.0,5400.0,3,1,0,0,3,1,0,2,2,1
20,1,118.0,93.7,157.3,63.8,50.8,1876,90,9.41,37,41,2.97,3.23,68.0,5500.0,4,1,0,1,2,1,0,2,2,1
21,1,118.0,93.7,157.3,63.8,50.8,1876,90,9.4,31,38,2.97,3.23,68.0,5500.0,4,1,0,1,2,1,0,2,2,1
22,1,118.0,93.7,157.3,63.8,50.8,2128,98,7.6,24,30,3.03,3.39,102.0,5500.0,4,1,1,1,2,1,0,2,2,5
23,1,148.0,93.7,157.3,63.8,50.6,1967,90,9.4,31,38,2.97,3.23,68.0,5500.0,4,1,0,0,2,1,0,2,2,1
24,1,148.0,93.7,157.3,63.8,50.6,1989,90,9.4,31,38,2.97,3.23,68.0,5500.0,4,1,0,0,3,1,0,2,2,1
25,1,148.0,93.7,157.3,63.8,50.6,1989,90,9.4,31,38,2.97,3.23,68.0,5500.0,4,1,0,0,3,1,0,2,2,1
26,1,148.0,93.7,157.3,63.8,50.6,2191,98,7.6,24,30,3.03,3.39,102.0,5500.0,4,1,1,2,3,1,0,2,2,5
27,-1,110.0,103.3,174.6,64.6,59.8,2535,122,8.5,24,30,3.34,3.46,88.0,5000.0,4,1,0,0,4,1,0,2,2,1
28,3,145.0,95.9,173.2,66.3,50.2,2811,156,7.0,19,24,3.6,3.9,145.0,5000.0,4,1,1,1,2,1,0,2,2,4
29,2,137.0,86.6,144.6,63.9,50.8,1713,92,9.6,49,54,2.91,3.41,58.0,4800.0,5,1,0,1,2,1,0,2,2,0
30,2,137.0,86.6,144.6,63.9,50.8,1819,92,9.2,31,38,2.91,3.41,76.0,6000.0,5,1,0,1,2,1,0,2,2,0
31,1,101.0,93.7,150.0,64.0,52.6,1837,79,10.1,38,42,2.91,3.07,60.0,5500.0,5,1,0,1,2,1,0,2,2,0
32,1,101.0,93.7,150.0,64.0,52.6,1940,92,9.2,30,34,2.91,3.41,76.0,6000.0,5,1,0,1,2,1,0,2,2,0
33,1,101.0,93.7,150.0,64.0,52.6,1956,92,9.2,30,34,2.91,3.41,76.0,6000.0,5,1,0,1,2,1,0,2,2,0
34,0,110.0,96.5,163.4,64.0,54.5,2010,92,9.2,30,34,2.91,3.41,76.0,6000.0,5,1,0,0,3,1,0,2,2,0
35,0,78.0,96.5,157.1,63.9,58.3,2024,92,9.2,30,34,2.92,3.41,76.0,6000.0,5,1,0,0,4,1,0,2,2,0
36,0,106.0,96.5,167.5,65.2,53.3,2236,110,9.0,27,33,3.15,3.58,86.0,5800.0,5,1,0,1,2,1,0,2,2,0
37,0,106.0,96.5,167.5,65.2,53.3,2289,110,9.0,27,33,3.15,3.58,86.0,5800.0,5,1,0,1,2,1,0,2,2,0
38,0,85.0,96.5,175.4,65.2,54.1,2304,110,9.0,27,33,3.15,3.58,86.0,5800.0,5,1,0,0,3,1,0,2,2,0
39,0,85.0,96.5,175.4,62.5,54.1,2372,110,9.0,27,33,3.15,3.58,86.0,5800.0,5,1,0,0,3,1,0,2,2,0
40,0,85.0,96.5,175.4,65.2,54.1,2465,110,9.0,24,28,3.15,3.58,101.0,5800.0,5,1,0,0,3,1,0,2,2,5
41,1,107.0,96.5,169.1,66.0,51.0,2293,110,9.1,25,31,3.15,3.58,100.0,5500.0,5,1,0,1,3,1,0,2,2,1
42,0,121.83636363636364,94.3,170.7,61.8,53.5,2337,111,8.5,24,29,3.31,3.23,78.0,4800.0,6,1,0,0,3,2,0,2,2,1
43,2,121.83636363636364,96.0,172.6,65.2,51.4,2734,119,9.2,24,29,3.43,3.23,90.0,5000.0,6,1,0,1,2,2,0,2,2,7
44,0,145.0,113.0,199.6,69.6,52.8,4066,258,8.1,15,19,3.63,4.17,176.0,4750.0,7,1,0,0,3,2,0,0,3,5
45,0,121.83636363636364,113.0,199.6,69.6,52.8,4066,258,8.1,15,19,3.63,4.17,176.0,4750.0,7,1,0,0,3,2,0,0,3,5
46,0,121.83636363636364,102.0,191.7,70.6,47.8,3950,326,11.5,13,17,3.54,2.76,262.0,5000.0,7,1,0,1,3,2,0,4,5,5
47,1,104.0,93.1,159.1,64.2,54.1,1890,91,9.0,30,31,3.03,3.15,68.0,5000.0,8,1,0,1,2,1,0,2,2,1
48,1,104.0,93.1,159.1,64.2,54.1,1900,91,9.0,31,38,3.03,3.15,68.0,5000.0,8,1,0,1,2,1,0,2,2,1
49,1,104.0,93.1,159.1,64.2,54.1,1905,91,9.0,31,38,3.03,3.15,68.0,5000.0,8,1,0,1,2,1,0,2,2,1
50,1,113.0,93.1,166.8,64.2,54.1,1945,91,9.0,31,38,3.03,3.15,68.0,5000.0,8,1,0,0,3,1,0,2,2,1
51,1,113.0,93.1,166.8,64.2,54.1,1950,91,9.0,31,38,3.08,3.15,68.0,5000.0,8,1,0,0,3,1,0,2,2,1
52,3,150.0,95.3,169.0,65.7,49.6,2380,70,9.4,17,23,3.3329797979797977,3.256363636363636,101.0,6000.0,8,1,0,1,2,2,0,5,6,2
53,3,150.0,95.3,169.0,65.7,49.6,2380,70,9.4,17,23,3.3329797979797977,3.256363636363636,101.0,6000.0,8,1,0,1,2,2,0,5,6,2
54,3,150.0,95.3,169.0,65.7,49.6,2385,70,9.4,17,23,3.3329797979797977,3.256363636363636,101.0,6000.0,8,1,0,1,2,2,0,5,6,2
55,3,150.0,95.3,169.0,65.7,49.6,2500,80,9.4,16,23,3.3329797979797977,3.256363636363636,135.0,6000.0,8,1,0,1,2,2,0,5,6,5
56,1,129.0,98.8,177.8,66.5,53.7,2385,122,8.6,26,32,3.39,3.39,84.0,4800.0,8,1,0,1,2,1,0,2,2,1
57,0,115.0,98.8,177.8,66.5,55.5,2410,122,8.6,26,32,3.39,3.39,84.0,4800.0,8,1,0,0,3,1,0,2,2,1
58,1,129.0,98.8,177.8,66.5,53.7,2385,122,8.6,26,32,3.39,3.39,84.0,4800.0,8,1,0,1,2,1,0,2,2,1
59,0,115.0,98.8,177.8,66.5,55.5,2410,122,8.6,26,32,3.39,3.39,84.0,4800.0,8,1,0,0,3,1,0,2,2,1
60,0,121.83636363636364,98.8,177.8,66.5,55.5,2443,122,22.7,36,42,3.39,3.39,64.0,4650.0,8,0,0,2,3,1,0,2,2,3
