,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
symboling,1.0,0.5310635498913118,-0.5415978917992883,-0.37077265864834025,-0.2502622089335414,-0.5516910960088224,-0.23841891640346896,-0.11242905176979452,-0.1547215279368499,-0.0057258989393144,-0.18001203790984208,0.07355258499229676,0.2746008791113672,-0.028289291858931656,0.04202535003299091,-0.0902424492663875
normalized-losses,0.5310635498913118,1.0,-0.0829882981028144,0.016347883899471904,0.09606730427751725,-0.4342687125938789,0.1132322616336717,0.16333445563049837,-0.04396439148367873,0.06686484981686924,-0.1316513317983425,0.29223184994630375,0.26135624074775154,-0.25155003964010103,-0.20483244004090065,0.19182947743676246
wheel-base,-0.5415978917992883,-0.0829882981028144,1.0,0.8766889762991686,0.8165856387257121,0.5917511849169502,0.7828933807242573,0.5706539574388158,0.5019118956440127,0.154512922913397,0.2471275774189726,0.3712938884397622,-0.35278768957580187,-0.47424596231976984,-0.5455039838124951,0.5883819436305828
length,-0.37077265864834025,0.016347883899471904,0.8766889762991686,1.0,0.8582373860008792,0.4938971092075237,0.8812574229511139,0.6844454220711597,0.6134741275732499,0.12170146631413793,0.15819312663089233,0.5798337100211917,-0.2815885299791122,-0.6669988058044303,-0.6994077732105143,0.6927744988876291
width,-0.2502622089335414,0.09606730427751725,0.8165856387257121,0.8582373860008792,1.0,0.3090882077629087,0.8666901050276768,0.7279407576382358,0.5502097865447375,0.18542589227752052,0.18771567769126005,0.6140750688604292,-0.24031322745543404,-0.6356809600459736,-0.6819235830117427,0.7532359420314758
height,-0.5516910960088224,-0.4342687125938789,0.5917511849169502,0.4938971092075237,0.3090882077629087,1.0,0.3099042339649968,0.07577551592907411,0.19014280369984204,-0.06377782127080928,0.2588124344900586,-0.08628209042772876,-0.3088402383854745,-0.05300101289132247,-0.1074314090990065,0.13900270848441978
curb-weight,-0.23841891640346896,0.1132322616336717,0.7828933807242573,0.8812574229511139,0.8666901050276768,0.3099042339649968,1.0,0.848462992908703,0.6467000874081399,0.16548542201468971,0.1552446856426618,0.7574905720534948,-0.2756055577518317,-0.7507104143673438,-0.7956780705210652,0.8352772602372397
engine-size,-0.11242905176979452,0.16333445563049837,0.5706539574388158,0.6844454220711597,0.7279407576382358,0.07577551592907411,0.848462992908703,1.0,0.5813216025802587,0.20887401331038988,0.028597913115142457,0.8227912586288243,-0.2554746891798503,-0.6504898765124049,-0.6796108302090906,0.871050504788838
bore,-0.1547215279368499,-0.04396439148367873,0.5019118956440127,0.6134741275732499,0.5502097865447375,0.19014280369984204,0.6467000874081399,0.5813216025802587,1.0,-0.0577913024046549,-0.00016448718259350786,0.5668386609944697,-0.27002415622951426,-0.5953925645523737,-0.6011403816906149,0.547581857086078
stroke,-0.0057258989393144,0.06686484981686924,0.154512922913397,0.12170146631413793,0.18542589227752052,-0.06377782127080928,0.16548542201468971,0.20887401331038988,-0.0577913024046549,1.0,0.18814205037901285,0.09952955035909455,-0.06925924794754205,-0.03290970554946811,-0.03366688986666134,0.08001351762137135
compression-ratio,-0.18001203790984208,-0.1316513317983425,0.2471275774189726,0.15819312663089233,0.18771567769126005,0.2588124344900586,0.1552446856426618,0.028597913115142457,-0.00016448718259350786,0.18814205037901285,1.0,-0.21475664982458031,-0.43610424811148074,0.3314338281194706,0.2686700685271803,0.06988087540578548
horsepower,0.07355258499229676,0.29223184994630375,0.3712938884397622,0.5798337100211917,0.6140750688604292,-0.08628209042772876,0.7574905720534948,0.8227912586288243,0.5668386609944697,0.09952955035909455,-0.21475664982458031,1.0,0.10859946560073133,-0.8219099473895769,-0.8042219309685893,0.8092324514671108
peak-rpm,0.2746008791113672,0.26135624074775154,-0.35278768957580187,-0.2815885299791122,-0.24031322745543404,-0.3088402383854745,-0.2756055577518317,-0.2554746891798503,-0.27002415622951426,-0.06925924794754205,-0.43610424811148074,0.10859946560073133,1.0,-0.11788795822406305,-0.06089826496900509,-0.09775205106889805
city-mpg,-0.028289291858931656,-0.25155003964010103,-0.47424596231976984,-0.6669988058044303,-0.6356809600459736,-0.05300101289132247,-0.7507104143673438,-0.6504898765124049,-0.5953925645523737,-0.03290970554946811,0.3314338281194706,-0.8219099473895769,-0.11788795822406305,1.0,0.9721158510787846,-0.6882544977396161
highway-mpg,0.04202535003299091,-0.20483244004090065,-0.5455039838124951,-0.6994077732105143,-0.6819235830117427,-0.1074314090990065,-0.7956780705210652,-0.6796108302090906,-0.6011403816906149,-0.03366688986666134,0.2686700685271803,-0.8042219309685893,-0.06089826496900509,0.9721158510787846,1.0,-0.7059241601120266
price,-0.0902424492663875,0.19182947743676246,0.5883819436305828,0.6927744988876291,0.7532359420314758,0.13900270848441978,0.8352772602372397,0.871050504788838,0.547581857086078,0.08001351762137135,0.06988087540578548,0.8092324514671108,-0.09775205106889805,-0.6882544977396161,-0.7059241601120266,1.0
